--------- beginning of main
08-30 09:45:07.096 16573 16618 I Unity   : [Flow:Catalog] resolve 'Data/Canonical/structures-catalog.json' <- Resources (95532 chars)
08-30 09:45:07.096 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.096 16573 16618 I Unity   : DeNelle.Core.LocalJsonCatalogSource:Read(String)
08-30 09:45:07.096 16573 16618 I Unity   : DeNelle.Core.CanonicalJson:Read(String)
08-30 09:45:07.096 16573 16618 I Unity   : DeNelle.Village.CatalogBootstrap:LoadFromJson(Int32&)
08-30 09:45:07.096 16573 16618 I Unity   : DeNelle.Village.CatalogBootstrap:Register()
08-30 09:45:07.096 16573 16618 I Unity   : 
08-30 09:45:07.096 16573 16618 I Unity   : [Flow:CanonJson] Read('Data/Canonical/structures-catalog.json') via LocalJsonCatalogSource -> 95532 chars.
08-30 09:45:07.096 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.096 16573 16618 I Unity   : DeNelle.Core.CanonicalJson:Read(String)
08-30 09:45:07.096 16573 16618 I Unity   : DeNelle.Village.CatalogBootstrap:LoadFromJson(Int32&)
08-30 09:45:07.096 16573 16618 I Unity   : DeNelle.Village.CatalogBootstrap:Register()
08-30 09:45:07.096 16573 16618 I Unity   : 
08-30 09:45:07.118 16573 16618 I Unity   : [Flow:Catalog] registered id='tower_ground_archer' (type=Tower); total=1.
08-30 09:45:07.118 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.118 16573 16618 I Unity   : DeNelle.Core.Catalog.CatalogRegistry:Register(CatalogEntry)
08-30 09:45:07.118 16573 16618 I Unity   : DeNelle.Village.CatalogBootstrap:ParseAndRegister(String, String, Int32&)
08-30 09:45:07.118 16573 16618 I Unity   : DeNelle.Village.CatalogBootstrap:Register()
08-30 09:45:07.118 16573 16618 I Unity   : 
08-30 09:45:07.119 16573 16618 I Unity   : [Flow:Catalog] registered id='tower_ballista' (type=Tower); total=2.
08-30 09:45:07.119 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.119 16573 16618 I Unity   : DeNelle.Core.Catalog.CatalogRegistry:Register(CatalogEntry)
